Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FlowPattern
2.06801,0.25729,0.007,0.00001,860,4.124,0.022,1,0.0512,0
2.00956,0.47872,0.007,0.00001,860,4.124,0.022,1,0.0512,0
2.12995,0.82842,0.007,0.00001,860,4.124,0.022,1,0.0512,0
1.97751,0.04976,0.007,0.00001,860,4.124,0.022,5,0.0512,0
1.94711,0.09989,0.007,0.00001,860,4.124,0.022,5,0.0512,0
1.92626,0.20212,0.007,0.00001,860,4.124,0.022,5,0.0512,0
1.9468,0.49061,0.007,0.00001,860,4.124,0.022,5,0.0512,0
1.98975,0.04958,0.007,0.00001,860,4.124,0.022,9,0.0512,0
1.98849,0.09878,0.007,0.00001,860,4.124,0.022,9,0.0512,0
2.00702,0.19681,0.007,0.00001,860,4.124,0.022,9,0.0512,0
6.20201,2.01014,0.001,0,1000,6.4691,0.07,1,0.1064,0
6.06228,2.87121,0.001,0,1000,6.4691,0.07,1,0.1064,0
5.66207,4.10112,0.001,0,1000,6.4691,0.07,1,0.1064,0
5.66207,5.60257,0.001,0,1000,6.4691,0.07,1,0.1064,0
5.29067,8.0025,0.001,0,1000,6.4691,0.07,1,0.1064,0
5.66466,1.95757,0.001,0,1000,6.4691,0.07,2,0.1064,0
5.5287,2.9212,0.001,0,1000,6.4691,0.07,2,0.1064,0
5.67422,4.17715,0.001,0,1000,6.4691,0.07,2,0.1064,0
5.81142,5.48102,0.001,0,1000,6.4691,0.07,2,0.1064,0
5.81622,8.18052,0.001,0,1000,6.4691,0.07,2,0.1064,0
5.6822,2.05252,0.001,0,1000,6.4691,0.07,0,0.1064,0
5.82122,2.94272,0.001,0,1000,6.4691,0.07,0,0.1064,0
5.56267,4.21697,0.001,0,1000,6.4691,0.07,0,0.1064,0
5.82942,5.62241,0.001,0,1000,6.4691,0.07,0,0.1064,0
5.7014,7.49894,0.001,0,1000,6.4691,0.07,0,0.1064,0
2.00272,0.04217,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.26555,0.04522,0.001,0,1000,5.51554,0.07,0,0.0549,0
6.47559,0.11548,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.2551,0.11548,0.001,0,1000,5.51554,0.07,0,0.0549,0
4.46709,0.11548,0.001,0,1000,5.51554,0.07,0,0.0549,0
2.94272,0.11548,0.001,0,1000,5.51554,0.07,0,0.0549,0
